Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,2,Denny Hulme,HUL,Brabham Repco,15,2:05:55.700,9
2,1,Jack Brabham,BRA,Brabham Repco,15,+38.500s,6
3,8,Chris Amon,AMO,Ferrari,15,+39.000s,4
4,7,John Surtees,SUR,Honda,15,+145.700s,3
5,24,Jackie Oliver,OLI,,15,+369.200s,0
6,16,Jo Bonnier,BON,Cooper Maserati,15,+522.100s,0
7,22,Alan Rees,REE,,15,+527.900s,0
8,15,Guy Ligier,LIG,Brabham Repco,14,+1 lap,0
9,18,Chris Irwin,IRW,BRM,13,+2 laps,0
10,27,David Hobbs,HOB,Lola BMW,13,+2 laps,0
11,6,Pedro Rodriguez,ROD,Cooper Maserati,13,+2 laps,0
NC,9,Dan Gurney,GUR,Eagle Weslake,12,DNF,0
NC,29,Jacky Ickx,ICK,,12,DNF,0
NC,25,Brian Hart,HAR,,12,+3 laps,0
NC,14,Jo Siffert,SIF,Cooper Maserati,11,DNF,0
NC,4,Graham Hill,HIL,Lotus Ford,8,DNF,0
NC,17,Hubert Hahne,HAH,Lola BMW,6,DNF,0
NC,11,Jackie Stewart,STE,BRM,5,DNF,0
NC,5,Jochen Rindt,RIN,Cooper Maserati,4,DNF,0
NC,3,Jim Clark,CLA,Lotus Ford,4,DNF,0
NC,26,Kurt Ahrens,AHR,,4,DNF,0
NC,10,Bruce McLaren,MCL,Eagle Weslake,3,DNF,0
NC,12,Mike Spence,SPE,BRM,3,DNF,0
NC,23,Jo Schlesser,SCH,,2,DNF,0
NC,20,Gerhard Mitter,MIT,,0,DNF,0
