Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,11,Sergio Perez,PER,Red Bull Racing Honda,51,2:13:36.410,25
2,5,Sebastian Vettel,VET,Aston Martin Mercedes,51,+1.385s,18
3,10,Pierre Gasly,GAS,AlphaTauri Honda,51,+2.762s,15
4,16,Charles Leclerc,LEC,Ferrari,51,+3.828s,12
5,4,Lando Norris,NOR,McLaren Mercedes,51,+4.754s,10
6,14,Fernando Alonso,ALO,Alpine Renault,51,+6.382s,8
7,22,Yuki Tsunoda,TSU,AlphaTauri Honda,51,+6.624s,6
8,55,Carlos Sainz,SAI,Ferrari,51,+7.709s,4
9,3,Daniel Ricciardo,RIC,McLaren Mercedes,51,+8.874s,2
10,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,51,+9.576s,1
11,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,51,+10.254s,0
12,77,Valtteri Bottas,BOT,Mercedes,51,+11.264s,0
13,47,Mick Schumacher,MSC,Haas Ferrari,51,+14.241s,0
14,9,Nikita Mazepin,MAZ,Haas Ferrari,51,+14.315s,0
15,44,Lewis Hamilton,HAM,Mercedes,51,+17.668s,0
16,6,Nicholas Latifi,LAT,Williams Mercedes,51,+42.379s,0
17,63,George Russell,RUS,Williams Mercedes,48,DNF,0
18,33,Max Verstappen,VER,Red Bull Racing Honda,45,DNF,0
NC,18,Lance Stroll,STR,Aston Martin Mercedes,29,DNF,0
NC,31,Esteban Ocon,OCO,Alpine Renault,3,DNF,0
