Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Emerson Fittipaldi,FIT,McLaren Ford,53,1:39:26.290,9
2,24,James Hunt,HUN,Hesketh Ford,53,+5.910s,6
3,7,Carlos Reutemann,REU,Brabham Ford,53,+17.060s,4
4,11,Clay Regazzoni,REG,Ferrari,53,+35.790s,3
5,4,Patrick Depailler,DEP,Tyrrell Ford,53,+54.250s,2
6,12,Niki Lauda,LAU,Ferrari,53,+79.650s,1
7,28,Mark Donohue,DON,Penske Ford,52,+1 lap,0
8,6,Jacky Ickx,ICK,Lotus Ford,52,+1 lap,0
9,9,Vittorio Brambilla,BRA,March Ford,52,+1 lap,0
10,22,Graham Hill,HIL,Lola Ford,52,+1 lap,0
11,3,Jody Scheckter,SCH,Tyrrell Ford,52,+1 lap,0
12,16,Tom Pryce,PRY,Shadow Ford,51,DNF,0
13,23,Rolf Stommelen,STO,Lola Ford,51,+2 laps,0
14,2,Jochen Mass,MAS,McLaren Ford,50,+3 laps,0
NC,8,Carlos Pace,PAC,Brabham Ford,46,DNF,0
NC,20,Arturo Merzario,MER,Frank Williams Racing Cars/Williams,44,+9 laps,0
NC,27,Mario Andretti,AND,Parnelli Ford,27,DNF,0
NC,14,Mike Wilds,WIL,BRM,24,DNF,0
NC,5,Ronnie Peterson,PET,Lotus Ford,15,DNF,0
NC,21,Jacques Laffite,LAF,Frank Williams Racing Cars/Williams,15,DNF,0
NC,30,Wilson Fittipaldi,FIT,Fittipaldi Ford,12,DNF,0
DQ,18,John Watson,WAT,Surtees Ford,6,DSQ,0
