Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:37.356,1:36.822,1:36.231,18
2,44,Lewis Hamilton,HAM,Mercedes,1:37.391,1:36.742,1:36.403,19
3,5,Sebastian Vettel,VET,Ferrari,1:37.817,1:37.023,1:36.777,18
4,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:38.016,1:37.583,1:36.959,16
5,7,Kimi Räikkönen,RAI,Ferrari,1:37.453,1:37.302,1:36.985,17
6,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:38.021,1:37.777,1:37.328,19
7,27,Nico Hulkenberg,HUL,Renault,1:38.781,1:38.138,1:38.282,14
8,11,Sergio Perez,PER,Force India Mercedes,1:38.601,1:38.359,1:38.374,17
9,31,Esteban Ocon,OCO,Force India Mercedes,1:38.896,1:38.392,1:38.397,17
10,19,Felipe Massa,MAS,Williams Mercedes,1:38.629,1:38.565,1:38.550,18
11,14,Fernando Alonso,ALO,McLaren Honda,1:38.820,1:38.636,DNQ,12
12,55,Carlos Sainz,SAI,Renault,1:38.810,1:38.725,DNQ,9
13,2,Stoffel Vandoorne,VAN,McLaren Honda,1:38.777,1:38.808,DNQ,9
14,20,Kevin Magnussen,MAG,Haas Ferrari,1:39.395,1:39.298,DNQ,16
15,18,Lance Stroll,STR,Williams Mercedes,1:39.503,1:39.646,DNQ,14
16,8,Romain Grosjean,GRO,Haas Ferrari,1:39.516,DNQ,DNQ,10
17,10,Pierre Gasly,GAS,Toro Rosso,1:39.724,DNQ,DNQ,9
18,94,Pascal Wehrlein,WEH,Sauber Ferrari,1:39.930,DNQ,DNQ,9
19,9,Marcus Ericsson,ERI,Sauber Ferrari,1:39.994,DNQ,DNQ,9
20,28,Brendon Hartley,HAR,Toro Rosso,1:40.471,DNQ,DNQ,8
