Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,5,Sebastian Vettel,VET,Ferrari,1:17.665,1:16.870,1:16.488,20
2,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:17.630,1:16.524,1:16.574,19
3,44,Lewis Hamilton,HAM,Mercedes,1:17.518,1:17.035,1:16.934,21
4,77,Valtteri Bottas,BOT,Mercedes,1:17.578,1:17.161,1:16.958,17
5,7,Kimi Räikkönen,RAI,Ferrari,1:18.148,1:17.534,1:17.238,20
6,31,Esteban Ocon,OCO,Force India Mercedes,1:18.336,1:17.827,1:17.437,19
7,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:18.208,1:17.631,1:17.447,15
8,27,Nico Hulkenberg,HUL,Renault,1:18.322,1:17.792,1:17.466,17
9,55,Carlos Sainz,SAI,Renault,1:18.405,1:17.753,1:17.794,17
10,11,Sergio Perez,PER,Force India Mercedes,1:18.020,1:17.868,1:17.807,19
11,19,Felipe Massa,MAS,Williams Mercedes,1:18.570,1:18.099,DNQ,10
12,18,Lance Stroll,STR,Williams Mercedes,1:18.902,1:19.159,DNQ,11
13,28,Brendon Hartley,HAR,Toro Rosso,1:18.683,DNF,DNQ,12
14,14,Fernando Alonso,ALO,McLaren Honda,1:17.710,DNS,DNQ,9
15,2,Stoffel Vandoorne,VAN,McLaren Honda,1:18.578,DNS,DNQ,13
16,9,Marcus Ericsson,ERI,Sauber Ferrari,1:19.176,DNQ,DNQ,9
17,94,Pascal Wehrlein,WEH,Sauber Ferrari,1:19.333,DNQ,DNQ,9
18,20,Kevin Magnussen,MAG,Haas Ferrari,1:19.443,DNQ,DNQ,10
19,8,Romain Grosjean,GRO,Haas Ferrari,1:19.473,DNQ,DNQ,11
