Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
south-africa,01 Mar 1992,Nigel Mansell,MAN,Williams Renault,72,1:36:45.320
mexico,22 Mar 1992,Nigel Mansell,MAN,Williams Renault,69,1:31:53.587
brazil,05 Apr 1992,Nigel Mansell,MAN,Williams Renault,71,1:36:51.856
spain,03 May 1992,Nigel Mansell,MAN,Williams Renault,65,1:56:10.674
san-marino,17 May 1992,Nigel Mansell,MAN,Williams Renault,60,1:28:40.927
monaco,31 May 1992,Ayrton Senna,SEN,McLaren Honda,78,1:50:59.372
canada,14 Jun 1992,Gerhard Berger,BER,McLaren Honda,69,1:37:08.299
france,05 Jul 1992,Nigel Mansell,MAN,Williams Renault,69,1:38:08.459
great-britain,12 Jul 1992,Nigel Mansell,MAN,Williams Renault,59,1:25:42.991
germany,26 Jul 1992,Nigel Mansell,MAN,Williams Renault,45,1:18:22.032
hungary,16 Aug 1992,Ayrton Senna,SEN,McLaren Honda,77,1:46:19.216
belgium,30 Aug 1992,Michael Schumacher,MSC,Benetton Ford,44,1:36:10.721
italy,13 Sep 1992,Ayrton Senna,SEN,McLaren Honda,53,1:18:15.349
portugal,27 Sep 1992,Nigel Mansell,MAN,Williams Renault,71,1:34:46.659
japan,25 Oct 1992,Riccardo Patrese,PAT,Williams Renault,53,1:33:09.553
australia,08 Nov 1992,Gerhard Berger,BER,McLaren Honda,82,1:46:54.786
