Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:28.702,1:28.017,1:27.760,11
2,77,Valtteri Bottas,BOT,Mercedes,1:29.297,1:27.987,1:28.059,12
3,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:29.480,1:28.849,1:29.057,10
4,7,Kimi Räikkönen,RAI,Ferrari,1:29.631,1:28.595,1:29.521,13
5,8,Romain Grosjean,GRO,Haas Ferrari,1:29.724,1:29.678,1:29.761,17
6,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,1:30.248,1:29.848,1:30.023,15
7,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:30.137,1:29.810,1:30.093,15
8,31,Esteban Ocon,OCO,Force India Mercedes,1:29.899,1:29.538,1:30.126,13
9,5,Sebastian Vettel,VET,Ferrari,1:29.049,1:28.279,1:32.192,13
10,11,Sergio Perez,PER,Force India Mercedes,1:30.247,1:29.567,1:37.229,16
11,16,Charles Leclerc,LEC,Sauber Ferrari,1:29.706,1:29.864,DNQ,12
12,20,Kevin Magnussen,MAG,Haas Ferrari,1:30.219,1:30.226,DNQ,13
13,55,Carlos Sainz,SAI,Renault,1:30.236,1:30.490,DNQ,12
14,18,Lance Stroll,STR,Williams Mercedes,1:30.317,1:30.714,DNQ,10
15,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:29.806,DNQ,DNQ,4
16,27,Nico Hulkenberg,HUL,Renault,1:30.361,DNQ,DNQ,7
17,35,Sergey Sirotkin,SIR,Williams Mercedes,1:30.372,DNQ,DNQ,8
18,14,Fernando Alonso,ALO,McLaren Renault,1:30.573,DNQ,DNQ,6
19,2,Stoffel Vandoorne,VAN,McLaren Renault,1:31.041,DNQ,DNQ,10
20,9,Marcus Ericsson,ERI,Sauber Ferrari,1:31.213,DNQ,DNQ,4
