Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Nigel Mansell,MAN,Williams Honda,75.0,1:28:22.866,9
2,6,Keke Rosberg,ROS,Williams Honda,75.0,+7.572s,6
3,2,Alain Prost,PRO,McLaren TAG,74.0,DNF,4
4,28,Stefan Johansson,JOH,Ferrari,74.0,+1 lap,3
5,17,Gerhard Berger,BER,Arrows BMW,74.0,+1 lap,2
6,18,Thierry Boutsen,BOU,Arrows BMW,74.0,+1 lap,1
7,3,Martin Brundle,BRU,Tyrrell Renault,73.0,+2 laps,0
NC,11,Elio de Angelis,DEA,Lotus Renault,52.0,DNF,0
NC,29,Pierluigi Martini,MAR,Minardi Motori Moderni,45.0,DNF,0
NC,1,Niki Lauda,LAU,McLaren TAG,37.0,DNF,0
NC,4,Philippe Streiff,STR,Tyrrell Renault,16.0,DNF,0
NC,12,Ayrton Senna,SEN,Lotus Renault,8.0,DNF,0
NC,27,Michele Alboreto,ALB,Ferrari,8.0,DNF,0
NC,7,Nelson Piquet,PIQ,Brabham BMW,6.0,DNF,0
NC,20,Piercarlo Ghinzani,GHI,Toleman Hart,4.0,DNF,0
NC,19,Teo Fabi,FAB,Toleman Hart,3.0,DNF,0
NC,8,Marc Surer,SUR,Brabham BMW,3.0,DNF,0
NC,24,Huub Rothengatter,ROT,Osella Alfa Romeo,1.0,DNF,0
NC,22,Riccardo Patrese,PAT,Alfa Romeo,,DNS,0
NC,23,Eddie Cheever,CHE,Alfa Romeo,,DNS,0
