Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
brazil,07 Apr 1985,Alain Prost,PRO,McLaren TAG,61,1:41:26.115
portugal,21 Apr 1985,Ayrton Senna,SEN,Lotus Renault,67,2:00:28.006
san-marino,05 May 1985,Elio de Angelis,DEA,Lotus Renault,60,1:34:35.955
monaco,19 May 1985,Alain Prost,PRO,McLaren TAG,78,1:51:58.034
canada,16 Jun 1985,Michele Alboreto,ALB,Ferrari,70,1:46:01.813
detroit,23 Jun 1985,Keke Rosberg,ROS,Williams Honda,63,1:55:39.851
france,07 Jul 1985,Nelson Piquet,PIQ,Brabham BMW,53,1:31:46.266
great-britain,21 Jul 1985,Alain Prost,PRO,McLaren TAG,65,1:18:10.436
germany,04 Aug 1985,Michele Alboreto,ALB,Ferrari,67,1:35:31.337
austria,18 Aug 1985,Alain Prost,PRO,McLaren TAG,52,1:20:12.583
netherlands,25 Aug 1985,Niki Lauda,LAU,McLaren TAG,70,1:32:29.263
italy,08 Sep 1985,Alain Prost,PRO,McLaren TAG,51,1:17:59.451
belgium,15 Sep 1985,Ayrton Senna,SEN,Lotus Renault,43,1:34:19.893
europe,06 Oct 1985,Nigel Mansell,MAN,Williams Honda,75,1:32:58.109
south-africa,19 Oct 1985,Nigel Mansell,MAN,Williams Honda,75,1:28:22.866
australia,03 Nov 1985,Keke Rosberg,ROS,Williams Honda,82,2:00:40.473
