Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,03 Mar 2002,Michael Schumacher,MSC,Ferrari,58,1:35:36.792
malaysia,17 Mar 2002,Ralf Schumacher,RSC,Williams BMW,56,1:34:12.912
brazil,31 Mar 2002,Michael Schumacher,MSC,Ferrari,71,1:31:43.663
san-marino,14 Apr 2002,Michael Schumacher,MSC,Ferrari,62,1:29:10.789
spain,28 Apr 2002,Michael Schumacher,MSC,Ferrari,65,1:30:29.981
austria,12 May 2002,Michael Schumacher,MSC,Ferrari,71,1:33:51.562
monaco,26 May 2002,David Coulthard,COU,McLaren Mercedes,78,1:45:39.055
canada,09 Jun 2002,Michael Schumacher,MSC,Ferrari,70,1:33:36.111
europe,23 Jun 2002,Rubens Barrichello,BAR,Ferrari,60,1:35:07.426
great-britain,07 Jul 2002,Michael Schumacher,MSC,Ferrari,60,1:31:45.015
france,21 Jul 2002,Michael Schumacher,MSC,Ferrari,72,1:32:09.837
germany,28 Jul 2002,Michael Schumacher,MSC,Ferrari,67,1:27:52.078
hungary,18 Aug 2002,Rubens Barrichello,BAR,Ferrari,77,1:41:49.001
belgium,01 Sep 2002,Michael Schumacher,MSC,Ferrari,44,1:21:20.634
italy,15 Sep 2002,Rubens Barrichello,BAR,Ferrari,53,1:16:19.982
united-states,29 Sep 2002,Rubens Barrichello,BAR,Ferrari,73,1:31:07.934
japan,13 Oct 2002,Michael Schumacher,MSC,Ferrari,53,1:26:59.698
