Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Nelson Piquet,PIQ,Brabham Ford,72.0,1:38:13.830,9
2,16,Rene Arnoux,ARN,Renault,72.0,+12.930s,6
3,26,Jacques Laffite,LAF,Ligier Ford,72.0,+13.430s,4
4,28,Carlos Reutemann,REU,Williams Ford,72.0,+15.290s,3
5,3,Jean-Pierre Jarier,JAR,Tyrrell Ford,72.0,+60.020s,2
6,8,Alain Prost,PRO,McLaren Ford,72.0,+82.620s,1
7,2,Gilles Villeneuve,VIL,Ferrari,71.0,+1 lap,0
8,11,Mario Andretti,AND,Lotus Ford,70.0,DNF,0
9,1,Jody Scheckter,SCH,Ferrari,70.0,+2 laps,0
10,9,Marc Surer,SUR,ATS Ford,69.0,+3 laps,0
11,27,Alan Jones,JON,Williams Ford,69.0,+3 laps,0
NC,4,Derek Daly,DAL,Tyrrell Ford,60.0,DNF,0
NC,23,Bruno Giacomelli,GIA,Alfa Romeo,58.0,DNF,0
NC,31,Eddie Cheever,CHE,Osella Ford,38.0,DNF,0
NC,29,Riccardo Patrese,PAT,Arrows Ford,29.0,DNF,0
NC,15,Jean-Pierre Jabouille,JAB,Renault,23.0,DNF,0
NC,41,Geoff Lees,LEE,Ensign Ford,21.0,DNF,0
NC,22,Vittorio Brambilla,BRA,Alfa Romeo,21.0,DNF,0
NC,7,John Watson,WAT,McLaren Ford,18.0,DNF,0
NC,20,Emerson Fittipaldi,FIT,Fittipaldi Ford,16.0,DNF,0
NC,43,Nigel Mansell,MAN,Lotus Ford,15.0,DNF,0
NC,25,Didier Pironi,PIR,Ligier Ford,2.0,DNF,0
NC,12,Elio de Angelis,DEA,Lotus Ford,2.0,DNF,0
NC,6,Hector Rebaque,REB,Brabham Ford,1.0,DNF,0
NC,50,Rupert Keegan,KEE,Williams Ford,,DNS,0
NC,14,Jan Lammers,LAM,Ensign Ford,,DNS,0
NC,30,Mike Thackwell,THA,Arrows Ford,,DNS,0
NC,21,Keke Rosberg,ROS,Fittipaldi Ford,,DNS,0
NC,30,Jochen Mass,MAS,Arrows Ford,,DNS,0
