Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Nelson Piquet,PIQ,Brabham Ford,60.0,1:38:07.520,9
2,27,Alan Jones,JON,Williams Ford,60.0,+28.930s,6
3,28,Carlos Reutemann,REU,Williams Ford,60.0,+73.670s,4
4,12,Elio de Angelis,DEA,Lotus Ford,59.0,+1 lap,3
5,21,Keke Rosberg,ROS,Fittipaldi Ford,59.0,+1 lap,2
6,25,Didier Pironi,PIR,Ligier Ford,59.0,+1 lap,1
7,8,Alain Prost,PRO,McLaren Ford,59.0,+1 lap,0
8,1,Jody Scheckter,SCH,Ferrari,59.0,+1 lap,0
9,26,Jacques Laffite,LAF,Ligier Ford,59.0,+1 lap,0
10,16,Rene Arnoux,ARN,Renault,58.0,+2 laps,0
11,50,Rupert Keegan,KEE,Williams Ford,58.0,+2 laps,0
12,31,Eddie Cheever,CHE,Osella Ford,57.0,+3 laps,0
13,3,Jean-Pierre Jarier,JAR,Tyrrell Ford,54.0,DNF,0
NC,15,Jean-Pierre Jabouille,JAB,Renault,53.0,DNF,0
NC,9,Marc Surer,SUR,ATS Ford,45.0,DNF,0
NC,11,Mario Andretti,AND,Lotus Ford,40.0,DNF,0
NC,29,Riccardo Patrese,PAT,Arrows Ford,38.0,DNF,0
NC,4,Derek Daly,DAL,Tyrrell Ford,33.0,DNF,0
NC,7,John Watson,WAT,McLaren Ford,20.0,DNF,0
NC,6,Hector Rebaque,REB,Brabham Ford,18.0,DNF,0
NC,20,Emerson Fittipaldi,FIT,Fittipaldi Ford,17.0,DNF,0
NC,2,Gilles Villeneuve,VIL,Ferrari,5.0,DNF,0
NC,23,Bruno Giacomelli,GIA,Alfa Romeo,5.0,DNF,0
NC,22,Vittorio Brambilla,BRA,Alfa Romeo,4.0,DNF,0
NC,43,Nigel Mansell,MAN,Lotus Ford,,DNS,0
NC,30,Manfred Winkelhock,WIN,Arrows Ford,,DNS,0
NC,14,Jan Lammers,LAM,Ensign Ford,,DNS,0
NC,41,Geoff Lees,LEE,Ensign Ford,,DNS,0
