Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,16,Rene Arnoux,ARN,Renault,78.0,1:36:52.540,9
2,26,Jacques Laffite,LAF,Ligier Ford,78.0,+34.070s,6
3,25,Didier Pironi,PIR,Ligier Ford,78.0,+52.490s,4
4,5,Nelson Piquet,PIQ,Brabham Ford,78.0,+61.020s,3
5,28,Carlos Reutemann,REU,Williams Ford,77.0,+1 lap,2
6,30,Jochen Mass,MAS,Arrows Ford,77.0,+1 lap,1
7,3,Jean-Pierre Jarier,JAR,Tyrrell Ford,77.0,+1 lap,0
8,20,Emerson Fittipaldi,FIT,Fittipaldi Ford,77.0,+1 lap,0
9,14,Clay Regazzoni,REG,Ensign Ford,77.0,+1 lap,0
10,6,Ricardo Zunino,ZUN,Brabham Ford,77.0,+1 lap,0
11,7,John Watson,WAT,McLaren Ford,76.0,+2 laps,0
12,11,Mario Andretti,AND,Lotus Ford,76.0,+2 laps,0
13,17,Geoff Lees,LEE,Shadow Ford,70.0,DNF,0
NC,23,Bruno Giacomelli,GIA,Alfa Romeo,69.0,DNF,0
NC,15,Jean-Pierre Jabouille,JAB,Renault,61.0,DNF,0
NC,4,Derek Daly,DAL,Tyrrell Ford,61.0,DNF,0
NC,21,Keke Rosberg,ROS,Fittipaldi Ford,58.0,DNF,0
NC,22,Patrick Depailler,DEP,Alfa Romeo,53.0,+25 laps,0
NC,27,Alan Jones,JON,Williams Ford,34.0,DNF,0
NC,2,Gilles Villeneuve,VIL,Ferrari,31.0,DNF,0
NC,1,Jody Scheckter,SCH,Ferrari,14.0,DNF,0
NC,29,Riccardo Patrese,PAT,Arrows Ford,10.0,DNF,0
NC,31,Eddie Cheever,CHE,Osella Ford,8.0,DNF,0
NC,12,Elio de Angelis,DEA,Lotus Ford,1.0,DNF,0
NC,8,Alain Prost,PRO,McLaren Ford,,DNS,0
NC,9,Marc Surer,SUR,ATS Ford,,DNS,0
NC,18,Dave Kennedy,KEN,Shadow Ford,,DNS,0
NC,9,Jan Lammers,LAM,ATS Ford,,DNS,0
