Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:32.983,1:32.835,1:31.304,19
2,33,Max Verstappen,VER,Red Bull Racing Honda,1:33.630,1:33.157,1:31.867,21
3,77,Valtteri Bottas,BOT,Mercedes,1:32.656,1:32.405,1:31.956,19
4,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:33.704,1:33.038,1:32.317,15
5,3,Daniel Ricciardo,RIC,Renault,1:33.650,1:32.218,1:32.364,15
6,55,Carlos Sainz,SAI,McLaren Renault,1:33.967,1:32.757,1:32.550,15
7,31,Esteban Ocon,OCO,Renault,1:33.557,1:33.196,1:32.624,20
8,4,Lando Norris,NOR,McLaren Renault,1:33.804,1:33.081,1:32.847,19
9,10,Pierre Gasly,GAS,AlphaTauri Honda,1:33.734,1:33.139,1:33.000,21
10,23,Alexander Albon,ALB,Red Bull Racing Honda,1:33.919,1:33.153,1:33.008,19
11,16,Charles Leclerc,LEC,Ferrari,1:34.071,1:33.239,DNQ,10
12,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:33.511,1:33.249,DNQ,16
13,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:33.852,1:33.364,DNQ,11
14,63,George Russell,RUS,Williams Mercedes,1:34.020,1:33.583,DNQ,11
15,5,Sebastian Vettel,VET,Ferrari,1:34.134,1:33.609,DNQ,11
16,8,Romain Grosjean,GRO,Haas Ferrari,1:34.592,DNQ,DNQ,7
17,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:34.594,DNQ,DNQ,6
18,20,Kevin Magnussen,MAG,Haas Ferrari,1:34.681,DNQ,DNQ,8
19,6,Nicholas Latifi,LAT,Williams Mercedes,1:35.066,DNQ,DNQ,5
20,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:35.267,DNQ,DNQ,5
