Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,29 Mar 2009,Jenson Button,BUT,Brawn Mercedes,58,1:34:15.784
malaysia,05 Apr 2009,Jenson Button,BUT,Brawn Mercedes,31,55:30.622
china,19 Apr 2009,Sebastian Vettel,VET,RBR Renault,56,1:57:43.485
bahrain,26 Apr 2009,Jenson Button,BUT,Brawn Mercedes,57,1:31:48.182
spain,10 May 2009,Jenson Button,BUT,Brawn Mercedes,66,1:37:19.202
monaco,24 May 2009,Jenson Button,BUT,Brawn Mercedes,78,1:40:44.282
turkey,07 Jun 2009,Jenson Button,BUT,Brawn Mercedes,58,1:26:24.848
great-britain,21 Jun 2009,Sebastian Vettel,VET,RBR Renault,60,1:22:49.328
germany,12 Jul 2009,Mark Webber,WEB,RBR Renault,60,1:36:43.310
hungary,26 Jul 2009,Lewis Hamilton,HAM,McLaren Mercedes,70,1:38:23.876
europe,23 Aug 2009,Rubens Barrichello,BAR,Brawn Mercedes,57,1:35:51.289
belgium,30 Aug 2009,Kimi Räikkönen,RAI,Ferrari,44,1:23:50.995
italy,13 Sep 2009,Rubens Barrichello,BAR,Brawn Mercedes,53,1:16:21.706
singapore,27 Sep 2009,Lewis Hamilton,HAM,McLaren Mercedes,61,1:56:06.337
japan,04 Oct 2009,Sebastian Vettel,VET,RBR Renault,53,1:28:20.443
brazil,18 Oct 2009,Mark Webber,WEB,RBR Renault,71,1:32:23.081
abu-dhabi,01 Nov 2009,Sebastian Vettel,VET,RBR Renault,55,1:34:03.414
