Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,2,Jack Brabham,BRA,Cooper Climax,55,2:19:00.030,8
2,4,Bruce McLaren,MCL,Cooper Climax,55,+57.970s,6
3,14,Jim Clark,CLA,Lotus Climax,55,+113.230s,4
4,28,Wolfgang von Trips,VON,Ferrari,55,+118.810s,3
DQ,12,Stirling Moss,MOS,Lotus Climax,50,DSQ,0
5,6,Tony Brooks,BRO,Cooper Climax,49,+6 laps,2
6,16,Innes Ireland,IRE,Lotus Climax,48,+7 laps,1
7,8,Olivier Gendebien,GEN,Cooper Climax,46,+9 laps,0
NC,32,Mario de Araujo Cabral,DEA,Cooper Maserati,37,DNF,0
NC,18,John Surtees,SUR,Lotus Climax,36,DNF,0
NC,26,Phil Hill,HIL,Ferrari,29,DNF,0
NC,24,Dan Gurney,GUR,BRM,24,DNF,0
NC,30,Masten Gregory,GRE,Cooper Maserati,21,DNF,0
NC,22,Graham Hill,HIL,BRM,8,DNF,0
NC,20,Jo Bonnier,BON,BRM,6,DNF,0
