Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,14,Bill Vukovich,VUK,Kurtis Kraft Offenhauser,200.0,3:53:01.690,9.0
2,16,Art Cross,CRO,Kurtis Kraft Offenhauser,200.0,+210.872s,6.0
3,3,Sam Hanks,HAN,Kurtis Kraft Offenhauser,,SHC,2.0
3,3,Duane Carter,CAR,Kurtis Kraft Offenhauser,200.0,+0 lap,2.0
4,59,Fred Agabashian,AGA,Kurtis Kraft Offenhauser,,SHC,1.5
4,59,Paul Russo,RUS,Kurtis Kraft Offenhauser,200.0,+0 lap,1.5
5,5,Jack McGrath,MCG,Kurtis Kraft Offenhauser,200.0,+0 lap,2.0
6,48,Jimmy Daywalt,DAY,Kurtis Kraft Offenhauser,200.0,+0 lap,0.0
7,2,Jim Rathmann,RAT,Kurtis Kraft Offenhauser,,SHC,0.0
7,2,Eddie Johnson,JOH,Kurtis Kraft Offenhauser,200.0,+0 lap,0.0
8,12,Ernie McCoy,MCC,Stevens Offenhauser,200.0,+0 lap,0.0
9,98,Tony Bettenhausen,BET,Kuzma Offenhauser,,SHC,0.0
9,98,Chuck Stevenson,STE,Kuzma Offenhauser,,SHC,0.0
9,98,Gene Hartley,HAR,Kuzma Offenhauser,196.0,DNF,0.0
10,53,Jimmy Davies,DAV,Kurtis Kraft Offenhauser,193.0,+7 laps,0.0
11,9,Duke Nalon,NAL,Kurtis Kraft Novi,191.0,DNF,0.0
12,73,Carl Scarborough,SCA,Kurtis Kraft Offenhauser,,SHC,0.0
12,73,Bob Scott,SCO,Kurtis Kraft Offenhauser,190.0,+10 laps,0.0
13,88,Manny Ayulo,AYU,Kuzma Offenhauser,184.0,DNF,0.0
14,8,Jimmy Bryan,BRY,Schroeder Offenhauser,183.0,+17 laps,0.0
15,49,Bill Holland,HOL,Kurtis Kraft Offenhauser,,SHC,0.0
15,49,Jim Rathmann,RAT,Kurtis Kraft Offenhauser,177.0,DNF,0.0
16,92,Rodger Ward,WAR,Kurtis Kraft Offenhauser,177.0,DNF,0.0
16,92,Andy Linden,LIN,Kurtis Kraft Offenhauser,,SHC,0.0
16,92,Duke Dinsmore,DIN,Kurtis Kraft Offenhauser,,SHC,0.0
17,23,Walt Faulkner,FAU,Kurtis Kraft Offenhauser,,SHC,0.0
17,23,Johnny Mantz,MAN,Kurtis Kraft Offenhauser,176.0,+24 laps,0.0
18,22,Marshall Teague,TEA,Kurtis Kraft Offenhauser,169.0,DNF,0.0
19,62,Spider Webb,WEB,Kurtis Kraft Offenhauser,,SHC,0.0
19,62,Johnny Thomson,THO,Kurtis Kraft Offenhauser,,SHC,0.0
19,62,Jackie Holmes,HOL,Kurtis Kraft Offenhauser,166.0,DNF,0.0
20,51,Bob Sweikert,SWE,Kuzma Offenhauser,151.0,DNF,0.0
21,83,Mike Nazaruk,NAZ,Turner Offenhauser,146.0,DNF,0.0
22,77,Pat Flaherty,FLA,Kurtis Kraft Offenhauser,115.0,DNF,0.0
23,55,Jerry Hoyt,HOY,Kurtis Kraft Offenhauser,,SHC,0.0
23,55,Chuck Stevenson,STE,Kurtis Kraft Offenhauser,,SHC,0.0
23,55,Andy Linden,LIN,Kurtis Kraft Offenhauser,107.0,DNF,0.0
24,4,Duane Carter,CAR,Lesovsky Offenhauser,94.0,DNF,0.0
25,7,Paul Russo,RUS,Kurtis Kraft Offenhauser,89.0,DNF,0.0
26,21,Johnnie Parsons,PAR,Kurtis Kraft Offenhauser,86.0,DNF,0.0
27,38,Don Freeland,FRE,Watson Offenhauser,76.0,DNF,0.0
28,41,Gene Hartley,HAR,Kurtis Kraft Offenhauser,53.0,DNF,0.0
29,97,Chuck Stevenson,STE,Kuzma Offenhauser,42.0,DNF,0.0
30,99,Cal Niday,NID,Kurtis Kraft Offenhauser,30.0,DNF,0.0
31,29,Bob Scott,SCO,Bromme Offenhauser,14.0,DNF,0.0
32,56,Johnny Thomson,THO,Del Roy Offenhauser,6.0,DNF,0.0
33,32,Andy Linden,LIN,Stevens Offenhauser,3.0,DNF,0.0
