Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,8,Peter Collins,COL,Ferrari,36.0,2:40:00.300,8
2,6,Paul Frere,FRE,Ferrari,36.0,+111.300s,6
3,34,Cesare Perdisa,PER,Maserati,,SHC,2
3,34,Stirling Moss,MOS,Maserati,36.0,+196.600s,3
4,10,Harry Schell,SCH,Vanwall,35.0,+1 lap,3
5,22,Luigi Villoresi,VIL,Maserati,34.0,+2 laps,2
6,20,Andre Pilette,PIL,Ferrari,33.0,+3 laps,0
7,32,Jean Behra,BEH,Maserati,33.0,+3 laps,0
8,24,Louis Rosier,ROS,Maserati,33.0,+3 laps,0
NC,2,Juan Manuel Fangio,FAN,Ferrari,23.0,DNF,0
NC,12,Maurice Trintignant,TRI,Vanwall,11.0,DNF,0
NC,28,Piero Scotti,SCO,Connaught Alta,10.0,DNF,0
NC,30,Stirling Moss,MOS,Maserati,10.0,DNF,0
NC,4,Eugenio Castellotti,CAS,Ferrari,10.0,DNF,0
NC,26,Horace Gould,GOU,Maserati,2.0,DNF,0
NC,36,Paco Godia,GOD,Maserati,0.0,DNF,0
