Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
argentina,23 Jan 1972,Jackie Stewart,STE,Tyrrell Ford,95,1:57:58.820
south-africa,04 Mar 1972,Denny Hulme,HUL,McLaren Ford,79,1:45:49.100
spain,01 May 1972,Emerson Fittipaldi,FIT,Lotus Ford,90,2:03:41.230
monaco,14 May 1972,Jean-Pierre Beltoise,BEL,BRM,80,2:26:54.700
belgium,04 Jun 1972,Emerson Fittipaldi,FIT,Lotus Ford,85,1:44:06.700
france,02 Jul 1972,Jackie Stewart,STE,Tyrrell Ford,38,1:52:21.500
great-britain,15 Jul 1972,Emerson Fittipaldi,FIT,Lotus Ford,76,1:47:50.200
germany,30 Jul 1972,Jacky Ickx,ICK,Ferrari,14,1:42:12.300
austria,13 Aug 1972,Emerson Fittipaldi,FIT,Lotus Ford,54,1:29:16.660
italy,10 Sep 1972,Emerson Fittipaldi,FIT,Lotus Ford,55,1:29:58.400
canada,24 Sep 1972,Jackie Stewart,STE,Tyrrell Ford,80,1:43:16.900
united-states,08 Oct 1972,Jackie Stewart,STE,Tyrrell Ford,59,1:41:45.354
