Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,3,Graham Hill,HIL,BRM,110.0,2:16:38.000,9
2,7,John Surtees,SUR,Ferrari,110.0,+30.500s,6
3,22,Jo Siffert,SIF,Brabham BRM,109.0,+1 lap,4
4,4,Richie Ginther,GIN,BRM,107.0,+3 laps,3
5,17,Walt Hansgen,HAN,Lotus Climax,107.0,+3 laps,2
6,12,Trevor Taylor,TAY,BRP BRM,106.0,+4 laps,1
7,2,Mike Spence,SPE,Lotus Climax,,SHC,0
7,2,Jim Clark,CLA,Lotus Climax,102.0,DNF,0
8,14,Mike Hailwood,HAI,Lotus BRM,101.0,DNF,0
NC,6,Dan Gurney,GUR,Brabham Climax,69.0,DNF,0
NC,23,Hap Sharp,SHA,Brabham BRM,65.0,+45 laps,0
NC,8,Lorenzo Bandini,BAN,Ferrari,58.0,DNF,0
NC,1,Jim Clark,CLA,Lotus Climax,,SHC,0
NC,1,Mike Spence,SPE,Lotus Climax,54.0,DNF,0
NC,28,Ronnie Bucknum,BUC,Honda,50.0,DNF,0
NC,15,Chris Amon,AMO,Lotus BRM,47.0,DNF,0
NC,16,Jo Bonnier,BON,Brabham Climax,37.0,DNF,0
NC,9,Bruce McLaren,MCL,Cooper Climax,26.0,DNF,0
NC,5,Jack Brabham,BRA,Brabham Climax,14.0,DNF,0
NC,10,Phil Hill,HIL,Cooper Climax,4.0,DNF,0
NC,11,Innes Ireland,IRE,BRP BRM,2.0,DNF,0
