Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,2,Juan Manuel Fangio,FAN,Maserati,77.0,3:07:46.400,8
2,10,Luigi Musso,MUS,Ferrari,77.0,+50.800s,7
3,12,Peter Collins,COL,Ferrari,77.0,+126.000s,4
4,14,Mike Hawthorn,HAW,Ferrari,76.0,+1 lap,3
5,6,Harry Schell,SCH,Maserati,70.0,+7 laps,2
6,4,Jean Behra,BEH,Maserati,70.0,+7 laps,0
7,24,Mike MacDowel,MAC,Cooper Climax,,SHC,0
7,24,Jack Brabham,BRA,Cooper Climax,68.0,+9 laps,0
NC,18,Stuart Lewis-Evans,LEW,Vanwall,30.0,DNF,0
NC,8,Carlos Menditeguy,MEN,Maserati,30.0,DNF,0
NC,20,Roy Salvadori,SAL,Vanwall,25.0,DNF,0
NC,28,Herbert MacKay-Fraser,MAC,BRM,24.0,DNF,0
NC,16,Maurice Trintignant,TRI,Ferrari,23.0,DNF,0
NC,30,Horace Gould,GOU,Maserati,4.0,DNF,0
NC,22,Jack Brabham,BRA,Cooper Climax,4.0,DNF,0
NC,26,Ron Flockhart,FLO,BRM,2.0,DNF,0
