Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:35.851,1:35.634,1:34.779,19
2,77,Valtteri Bottas,BOT,Mercedes,1:36.200,1:35.674,1:34.973,16
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:36.390,1:36.275,1:35.139,16
4,16,Charles Leclerc,LEC,Ferrari,1:36.478,1:35.543,1:35.219,16
5,5,Sebastian Vettel,VET,Ferrari,1:36.963,1:35.786,1:35.339,16
6,23,Alexander Albon,ALB,Red Bull Racing Honda,1:36.102,1:36.718,1:35.682,21
7,4,Lando Norris,NOR,McLaren Renault,1:37.545,1:36.764,1:36.436,17
8,3,Daniel Ricciardo,RIC,Renault,1:37.106,1:36.785,1:36.456,15
9,55,Carlos Sainz,SAI,McLaren Renault,1:37.358,1:36.308,1:36.459,17
10,27,Nico Hulkenberg,HUL,Renault,1:37.506,1:36.859,1:36.710,18
11,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:36.961,1:37.055,DNQ,13
12,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:37.198,1:37.089,DNQ,12
13,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:37.528,1:37.103,DNQ,14
14,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:37.683,1:37.141,DNQ,12
15,20,Kevin Magnussen,MAG,Haas Ferrari,1:37.710,1:37.254,DNQ,14
16,8,Romain Grosjean,GRO,Haas Ferrari,1:38.051,DNQ,DNQ,8
17,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:38.114,DNQ,DNQ,6
18,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:38.383,DNQ,DNQ,6
19,63,George Russell,RUS,Williams Mercedes,1:38.717,DNQ,DNQ,8
20,88,Robert Kubica,KUB,Williams Mercedes,1:39.236,DNQ,DNQ,6
